id,county,category,company,website,email,phone,address,linkedin,instagram,facebook,sellsPlaques,quality
1962,Bedfordshire,Engraving,L Squared Lasers (Laser Marked),https://www.lasermarked.com/,info@lasermarked.com,01462 816623,"Unit 6C St Francis Way, Shefford Industrial Estate, Shefford, Bedfordshire, SG17 5DZ",,,,True,0
1961,Bedfordshire,Engraving,The Engraving Workshop,http://theengravingworkshop.co.uk,theengravingworkshop@outlook.com,07565 975081,,,,,True,0
1963,Belfast,Engraving,Mprint,https://www.mprintdesigns.co.uk,mprintdesigns@hotmail.com,,,,,,True,0
1964,Belfast,Engraving,Scorched Earth,https://scorchedearthdesigns.com,info@scorchedearthdesigns.com,,,,https://instagram.com/scorchedearthdesigns0,,True,0
1965,Berkshire,Engraving,Southdown Engraving,https://www.southdownengraving.co.uk/,southbound_engravings@btconnect.com,,,,,,True,0
1966,Bristol,Engraving,Bristol Design Forge,https://bristoldesignforge.co.uk/,hello@bristoldesignforge.co.uk,,,https://www.linkedin.com/company/bristol-design-forge,https://www.instagram.com/bristoldesignforge/,,True,0
1967,Cornwall,Engraving,Inscriptions Cornwall,https://www.glass-engravers-cornwall.co.uk/,inscriptions.ali@gmail.com,,,,https://www.instagram.com/inscriptions.ali/,,True,0
1968,Essex,Engraving,Clear Cut Engraving,https://clearcutengravingltd.co.uk/,clearcutuk@aol.com,,,,,,True,0
1971,Greater Manchester,Engraving,OnlineTrophies (Aford Awards),https://www.onlinetrophies.co.uk,sales@onlinetrophies.co.uk,01228 522 521,"Marple, Stockport",,,https://www.facebook.com/onlinetrophies,True,0
1969,Kent,Engraving,National Engravers,https://national-engravers.co.uk,info@national-engravers.co.uk,01233 840 999,Kent,,,,True,0
1972,UK Wide,Engraving,Trophy Store,https://www.trophystore.co.uk,support@trophystore.co.uk,0844 848 3444,UK Wide,,https://www.instagram.com/trophystoreuk/,https://www.facebook.com/trophystore,True,0
1970,Wrexham,Engraving,JP Engraving & Signs,https://www.jp-engraving.co.uk,info@jp-engraving.co.uk,01978 356 198,Wrexham (Serving Chester),,,https://www.facebook.com/jpengravingandsigns,True,0
1610,Bedfordshire,Signage,The Sign Shop Dunstable,https://thesignshop-dunstable.co.uk,,01582 500 600,"12a/14a, Victoria Street, Dunstable, LU6 3HA",,,,False,0
1641,Berkshire,Signage,D&A Media,,info@damedia.co.uk,0118 977 2222,"Unit 2, Indigo House, Mulberry Business Park, Wokingham, RG41 2GY",https://www.linkedin.com/company/d-&-a-media-solutions-ltd/,,https://www.facebook.com/damediasolutions/,False,0
1611,Berkshire,Signage,Simplex Ltd,https://www.simplexltd.com,info@simplexltd.com,,Berkshire,,,,False,0
1825,Bristol,Signage,Avonmouth Signs Ltd,https://www.avonmouthsigns.com/,info@avonmouthsigns.com,0117 982 6666,"Unit B1 Chittening Ind Est, Bristol, BS11 0YB",https://www.linkedin.com/company/avonmouth-signs-ltd,,https://www.facebook.com/avonmouthsigns,False,0
1826,Bristol,Signage,Capitol Signs,https://capitolsignsbristol.co.uk,info@capitolsignsbristol.co.uk,0117 951 6666,"15 Barratt St, Bristol, BS5 6DE",https://www.linkedin.com/company/capitol-signs-bristol,,https://www.facebook.com/capitolsignsbristol,False,0
1827,Bristol,Signage,Catersigns Ltd,https://www.catersigns.co.uk/,sales@catersigns.co.uk,0117 333 6666,"1st floor, 10 Temple Back, Bristol, BS1 6FL",https://www.linkedin.com/company/catersigns-ltd,https://www.instagram.com/catersigns,https://www.facebook.com/catersigns,False,0
1828,Bristol,Signage,Create Signs,https://create-signs.co.uk,info@create-signs.co.uk,01275 333456,"The Barn Bypass, Bristol, BS40 5JQ",https://www.linkedin.com/company/create-signs-bristol,,https://www.facebook.com/createsignsbristol,False,0
1829,Bristol,Signage,Fireworm,http://firewormsigns.co.uk,info@firewormsigns.co.uk,0117 931 6677,"78 Gloucester Rd, Bristol, BS32 4HP",,https://www.instagram.com/firewormsigns,https://www.facebook.com/firewormsigns,False,0
1830,Bristol,Signage,Fusion Graphics Ltd,https://fusiongraphicsltd.com,info@fusiongraphicsltd.com,0117 967 6666,"79 Memorial Rd, Bristol, BS15 3JQ",https://www.linkedin.com/company/fusion-graphics-ltd,https://www.instagram.com/fusiongraphicsltd,https://www.facebook.com/fusiongraphicsltd,False,0
1831,Bristol,Signage,Hello Blue Ltd,https://helloblue.co.uk,studio@helloblue.co.uk,0117 922 6666,"Albion Dockside Works, Albion Dockside Estate, Bristol, BS1 6UT",https://www.linkedin.com/company/hello-blue-ltd,https://www.instagram.com/hellobluebristol,https://www.facebook.com/hellobluebristol,False,0
1832,Bristol,Signage,Natural Signs,https://www.naturalsigns.co.uk/,info@naturalsigns.co.uk,01454 411666,"Whitehouse Farm Earthcott Green, Bristol, BS35 3TE",https://www.linkedin.com/company/natural-signs-ltd,,https://www.facebook.com/naturalsigns,False,0
1833,Bristol,Signage,Polysigns,https://polysigns.co.uk,info@polysigns.co.uk,0117 942 6666,"121-123 Newfoundland Rd, Bristol, BS2 9LU",https://www.linkedin.com/company/polysigns-bristol,,https://www.facebook.com/polysignsbristol,False,0
